activity_name,product_name,geography,time_period,sector,unit,cas_number
"market for soda ash, light","soda ash, light",RER,2011 - 2025,Chemicals,kg,497-19-8
"market for soda ash, light","soda ash, light",RoW,2011 - 2025,Chemicals,kg,497-19-8
market for sodium,sodium,GLO,2010 - 2025,Chemicals,kg,007440-23-5
"market for sodium aluminate, powder","sodium aluminate, powder",GLO,2012 - 2025,Chemicals,kg,011138-49-1
market for sodium amide,sodium amide,RER,2018 - 2025,Chemicals,kg,007782-92-5
market for sodium amide,sodium amide,RoW,2010 - 2025,Chemicals,kg,007782-92-5
market for sodium arsenide,sodium arsenide,GLO,2011 - 2025,Chemicals,kg,12044-25-6
market for sodium bicarbonate,sodium bicarbonate,RER,2011 - 2025,Chemicals,kg,144-55-8
market for sodium bicarbonate,sodium bicarbonate,RoW,2011 - 2025,Chemicals,kg,144-55-8
market for sodium borates,sodium borates,GLO,2011 - 2025,Resource Extraction; Minerals; Agriculture & Animal Husbandry,kg,
"market for sodium chlorate, powder","sodium chlorate, powder",RER,2018 - 2025,Chemicals,kg,7775-09-9
"market for sodium chlorate, powder","sodium chlorate, powder",RoW,2011 - 2025,Chemicals,kg,7775-09-9
"market for sodium chloride, brine solution","sodium chloride, brine solution",GLO,2011 - 2025,Resource Extraction; Minerals,kg,7647-14-5
"market for sodium chloride, powder","sodium chloride, powder",GLO,2011 - 2025,Resource Extraction; Minerals,kg,7647-14-5
market for sodium chloroacetate,sodium chloroacetate,GLO,2015 - 2025,Chemicals,kg,003926-62-3
market for sodium cumenesulfonate,sodium cumenesulfonate,GLO,2015 - 2025,Chemicals,kg,015763-77-6
market for sodium cyanide,sodium cyanide,RER,2018 - 2025,Chemicals,kg,143-33-9
market for sodium cyanide,sodium cyanide,RoW,2011 - 2025,Chemicals,kg,143-33-9
market for sodium dichromate,sodium dichromate,GLO,2011 - 2025,Chemicals,kg,10588-01-9
market for sodium dihydrogen phosphate,sodium dihydrogen phosphate,GLO,2020 - 2025,Chemicals,kg,007558-80-7
"market for sodium dithionite, anhydrous","sodium dithionite, anhydrous",RER,2018 - 2025,Chemicals,kg,7775-14-6
"market for sodium dithionite, anhydrous","sodium dithionite, anhydrous",RoW,2011 - 2025,Chemicals,kg,7775-14-6
market for sodium ethoxide,sodium ethoxide,GLO,2010 - 2025,Chemicals,kg,000141-52-6
market for sodium ethyl xanthate,sodium ethyl xanthate,GLO,2022 - 2025,Chemicals,kg,000140-90-9
market for sodium ferrocyanide,sodium ferrocyanide,GLO,2011 - 2025,Chemicals,kg,13601-19-9
market for sodium fluoride,sodium fluoride,GLO,2012 - 2025,Chemicals,kg,007681-49-4
market for sodium formate,sodium formate,RER,2018 - 2025,Chemicals,kg,141-53-7
market for sodium formate,sodium formate,RoW,2012 - 2025,Chemicals,kg,141-53-7
market for sodium hexafluorophosphate,sodium hexafluorophosphate,CN,2015 - 2025,Chemicals,kg,21324-39-0
market for sodium hexafluorophosphate,sodium hexafluorophosphate,RoW,2015 - 2025,Chemicals,kg,21324-39-0
market for sodium hydrogen sulfate,sodium hydrogen sulfate,GLO,2015 - 2025,Chemicals,kg,007681-38-1
market for sodium hydrogen sulfite,sodium hydrogen sulfite,GLO,2010 - 2025,Chemicals,kg,007631-90-5
market for sodium hydrosulfide,sodium hydrosulfide,GLO,2010 - 2025,Chemicals,kg,016721-80-5
"market for sodium hydroxide, without water, in 50% solution state","sodium hydroxide, without water, in 50% solution state",RER,2018 - 2025,Chemicals,kg,1310-73-2
"market for sodium hydroxide, without water, in 50% solution state","sodium hydroxide, without water, in 50% solution state",RoW,2011 - 2025,Chemicals,kg,1310-73-2
"market for sodium hydroxide, without water, in 50% solution state","sodium hydroxide, without water, in 50% solution state",US,2011 - 2025,Chemicals,kg,1310-73-2
"market for sodium hypochlorite, without water, in 15% solution state","sodium hypochlorite, without water, in 15% solution state",RER,2018 - 2025,Chemicals,kg,7681-52-9
"market for sodium hypochlorite, without water, in 15% solution state","sodium hypochlorite, without water, in 15% solution state",RoW,2011 - 2025,Chemicals,kg,7681-52-9
"market for sodium metasilicate pentahydrate, 58% active substance, powder","sodium metasilicate pentahydrate, 58% active substance, powder",RER,2018 - 2025,Chemicals,kg,10213-79-3
"market for sodium metasilicate pentahydrate, 58% active substance, powder","sodium metasilicate pentahydrate, 58% active substance, powder",RoW,2011 - 2025,Chemicals,kg,10213-79-3
market for sodium methoxide,sodium methoxide,GLO,2011 - 2025,Chemicals,kg,124-41-4
market for sodium nitrate,sodium nitrate,GLO,2010 - 2025,Chemicals,kg,007631-99-4
"market for sodium nitrate, technical grade","sodium nitrate, technical grade",GLO,2015 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,7631-99-4
"market for sodium nitrate, unrefined","sodium nitrate, unrefined",CL,2017 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,7631-99-4
market for sodium nitrite,sodium nitrite,RER,2018 - 2025,Chemicals,kg,007632-00-0
market for sodium nitrite,sodium nitrite,RoW,2010 - 2025,Chemicals,kg,007632-00-0
market for sodium oxide,sodium oxide,RER,2018 - 2025,Chemicals,kg,001313-59-3
market for sodium oxide,sodium oxide,RoW,2015 - 2025,Chemicals,kg,001313-59-3
"market for sodium perborate, monohydrate, powder","sodium perborate, monohydrate, powder",GLO,2011 - 2025,Chemicals,kg,010332-33-9
"market for sodium perborate, tetrahydrate, powder","sodium perborate, tetrahydrate, powder",RER,2018 - 2025,Chemicals,kg,010486-00-7
"market for sodium perborate, tetrahydrate, powder","sodium perborate, tetrahydrate, powder",RoW,2011 - 2025,Chemicals,kg,010486-00-7
"market for sodium percarbonate, powder","sodium percarbonate, powder",RER,2018 - 2025,Chemicals,kg,15630-89-4
"market for sodium percarbonate, powder","sodium percarbonate, powder",RoW,2011 - 2025,Chemicals,kg,15630-89-4
market for sodium perchlorate,sodium perchlorate,GLO,2011 - 2025,Chemicals,kg,7601-89-0
market for sodium persulfate,sodium persulfate,GLO,2011 - 2025,Chemicals,kg,7775-27-1
market for sodium phenolate,sodium phenolate,GLO,2010 - 2025,Chemicals,kg,000139-02-6
market for sodium phosphate,sodium phosphate,RER,2018 - 2025,Chemicals,kg,7601-54-9
market for sodium phosphate,sodium phosphate,RoW,2011 - 2025,Chemicals,kg,7601-54-9
market for sodium pyrophosphate,sodium pyrophosphate,GLO,2012 - 2025,Chemicals,kg,7722-88-5
"market for sodium silicate, solid","sodium silicate, solid",RER,2018 - 2025,Chemicals,kg,006834-92-0
"market for sodium silicate, solid","sodium silicate, solid",RoW,2011 - 2025,Chemicals,kg,006834-92-0
"market for sodium silicate, spray powder, 80%","sodium silicate, spray powder, 80%",RER,2018 - 2025,Chemicals,kg,006834-92-0
"market for sodium silicate, spray powder, 80%","sodium silicate, spray powder, 80%",RoW,2011 - 2025,Chemicals,kg,006834-92-0
"market for sodium silicate, without water, in 37% solution state","sodium silicate, without water, in 37% solution state",RER,2018 - 2025,Chemicals,kg,006834-92-0
"market for sodium silicate, without water, in 37% solution state","sodium silicate, without water, in 37% solution state",RoW,2011 - 2025,Chemicals,kg,006834-92-0
"market for sodium silicate, without water, in 48% solution state","sodium silicate, without water, in 48% solution state",RER,2018 - 2025,Chemicals,kg,006834-92-0
"market for sodium silicate, without water, in 48% solution state","sodium silicate, without water, in 48% solution state",RoW,2011 - 2025,Chemicals,kg,006834-92-0
market for sodium silver thiosulfate,sodium silver thiosulfate,GLO,2020 - 2025,Chemicals,kg,053819-72-0
"market for sodium sulfate, anhydrite","sodium sulfate, anhydrite",RER,2000 - 2025,Chemicals,kg,7757-82-6
"market for sodium sulfate, anhydrite","sodium sulfate, anhydrite",RoW,2011 - 2025,Chemicals,kg,7757-82-6
market for sodium sulfide,sodium sulfide,GLO,2013 - 2025,Chemicals,kg,1313-82-2
market for sodium sulfite,sodium sulfite,RER,2018 - 2025,Chemicals,kg,007757-83-7
market for sodium sulfite,sodium sulfite,RoW,2010 - 2025,Chemicals,kg,007757-83-7
market for sodium tetrafluoroborate,sodium tetrafluoroborate,GLO,2011 - 2025,Chemicals,kg,13755-29-8
market for sodium tetrahydridoborate,sodium tetrahydridoborate,GLO,2011 - 2025,Chemicals,kg,16940-66-2
market for sodium tripolyphosphate,sodium tripolyphosphate,GLO,2011 - 2025,Chemicals,kg,7758-29-4
"market for soft solder, Sn97Cu3","soft solder, Sn97Cu3",RER,2018 - 2025,Chemicals,kg,
"market for soft solder, Sn97Cu3","soft solder, Sn97Cu3",RoW,2011 - 2025,Chemicals,kg,
"market for soil pH raising agent, as CaCO3","soil pH raising agent, as CaCO3",GLO,2015 - 2025,Minerals; Agriculture & Animal Husbandry,kg,
"market for soil, contaminated","soil, contaminated",GLO,1998 - 2025,Waste Treatment & Recycling,kg,
market for solar collector factory,solar collector factory,GLO,2011 - 2025,Infrastructure & Machinery; Heat,unit,
"market for solar collector glass tube, with silver mirror","solar collector glass tube, with silver mirror",GLO,2011 - 2025,Infrastructure & Machinery; Heat,kg,
"market for solar collector system, Cu flat plate collector, multiple dwelling, hot water","solar collector system, Cu flat plate collector, multiple dwelling, hot water",GLO,2011 - 2025,Infrastructure & Machinery; Heat,unit,
"market for solar collector system, Cu flat plate collector, one-family house, combined system","solar collector system, Cu flat plate collector, one-family house, combined system",GLO,2011 - 2025,Infrastructure & Machinery; Heat,unit,
"market for solar collector system, Cu flat plate collector, one-family house, hot water","solar collector system, Cu flat plate collector, one-family house, hot water",GLO,2011 - 2025,Infrastructure & Machinery; Heat,unit,
"market for solar collector system, with evacuated tube collector, one-family house, combined system","solar collector system, with evacuated tube collector, one-family house, combined system",GLO,2011 - 2025,Infrastructure & Machinery; Heat,unit,
"market for solar glass, low-iron","solar glass, low-iron",GLO,2011 - 2025,Minerals; Electronics,kg,
market for solder factory,solder factory,GLO,2011 - 2025,Infrastructure & Machinery; Metals,unit,
"market for solder, bar, Sn63Pb37, for electronics industry","solder, bar, Sn63Pb37, for electronics industry",GLO,2011 - 2025,Chemicals; Electronics,kg,
"market for solder, bar, Sn95.5Ag3.9Cu0.6, for electronics industry","solder, bar, Sn95.5Ag3.9Cu0.6, for electronics industry",GLO,2011 - 2025,Chemicals; Electronics,kg,
"market for solder, paste, Sn63Pb37, for electronics industry","solder, paste, Sn63Pb37, for electronics industry",GLO,2011 - 2025,Chemicals; Electronics,kg,
"market for solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry","solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry",GLO,2011 - 2025,Chemicals; Electronics,kg,
market for solid bleached and unbleached board carton,solid bleached and unbleached board carton,RER,2018 - 2025,Pulp & Paper,kg,
market for solid bleached and unbleached board carton,solid bleached and unbleached board carton,RoW,2018 - 2025,Pulp & Paper,kg,
"market for solid manure loading and spreading, by hydraulic loader and spreader","solid manure loading and spreading, by hydraulic loader and spreader",GLO,2011 - 2025,Agriculture & Animal Husbandry,kg,
market for solvent for chromatography analysis,solvent for chromatography analysis,GLO,2012 - 2025,Chemicals,kg,
market for solvent for paint,solvent for paint,GLO,2017 - 2025,Chemicals,kg,
"market for solvent, organic","solvent, organic",GLO,2012 - 2025,Chemicals,kg,
"market for sorting facility, for construction waste","sorting facility, for construction waste",GLO,2011 - 2025,Infrastructure & Machinery,unit,
"market for sound insulation, heat and power co-generation unit, 160kW electrical","sound insulation, heat and power co-generation unit, 160kW electrical",GLO,2011 - 2025,Infrastructure & Machinery; Heat; Electricity,unit,
"market for sour gas, burned in gas turbine","sour gas, burned in gas turbine",GLO,2011 - 2025,Fuels; Heat,MJ,
market for sowing,sowing,GLO,2011 - 2025,Agriculture & Animal Husbandry,ha,
"market for SOx retained, in hard coal flue gas desulfurisation","SOx retained, in hard coal flue gas desulfurisation",RER,2018 - 2025,Chemicals,kg,
"market for SOx retained, in hard coal flue gas desulfurisation","SOx retained, in hard coal flue gas desulfurisation",RoW,2011 - 2025,Chemicals,kg,
"market for SOx retained, in lignite flue gas desulfurisation","SOx retained, in lignite flue gas desulfurisation",GLO,2011 - 2025,Chemicals,kg,
market for soybean,soybean,BR,2011 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,CH,2017 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,RoW,2011 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,US-IA,2014 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,US-IL,2014 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,US-IN,2014 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,US-MN,2014 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,US-ND,2014 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,US-NE,2014 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean,soybean,US-OH,2014 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean beverage,soybean beverage,GLO,2010 - 2025,Agriculture & Animal Husbandry,l,
market for soybean meal,soybean meal,BR,2011 - 2025,Agriculture & Animal Husbandry,kg,
market for soybean meal,soybean meal,RoW,2011 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean oil, crude","soybean oil, crude",RER,2012 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean oil, crude","soybean oil, crude",RoW,2012 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean oil, refined","soybean oil, refined",GLO,2012 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean seed, for sowing","soybean seed, for sowing",GLO,1999 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean seed, organic, for sowing","soybean seed, organic, for sowing",GLO,1999 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean, feed","soybean, feed",GLO,1996 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean, organic","soybean, organic",CH,2017 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean, organic","soybean, organic",RoW,2011 - 2025,Agriculture & Animal Husbandry,kg,
"market for soybean, Swiss integrated production","soybean, Swiss integrated production",CH,2019 - 2025,Agriculture & Animal Husbandry,kg,
market for spelt grain,spelt grain,CH,2017 - 2025,Agriculture & Animal Husbandry,kg,
"market for spelt grain, organic","spelt grain, organic",CH,2017 - 2025,Agriculture & Animal Husbandry,kg,
market for spent activated carbon with mercury,spent activated carbon with mercury,GLO,2011 - 2025,Waste Treatment & Recycling,kg,
"market for spent activated carbon, granular","spent activated carbon, granular",GLO,2005 - 2025,Waste Treatment & Recycling,kg,7440-44-0
market for spent anion exchange resin from potable water production,spent anion exchange resin from potable water production,CH,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent anion exchange resin from potable water production,spent anion exchange resin from potable water production,RoW,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent antifreezer liquid,spent antifreezer liquid,GLO,2011 - 2025,Waste Treatment & Recycling,kg,
market for spent automobile catalyst,spent automobile catalyst,GLO,2011 - 2025,Waste Treatment & Recycling,kg,
market for spent catalyst base from ethyleneoxide production,spent catalyst base from ethyleneoxide production,CN,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent catalyst base from ethyleneoxide production,spent catalyst base from ethyleneoxide production,RER,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent catalyst base from ethyleneoxide production,spent catalyst base from ethyleneoxide production,RoW,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent catalytic converter for cars,spent catalytic converter for cars,GLO,2011 - 2025,Waste Treatment & Recycling,kg,
market for spent catalytic converter NOx reduction,spent catalytic converter NOx reduction,GLO,2011 - 2025,Waste Treatment & Recycling,kg,
market for spent cation exchange resin from potable water production,spent cation exchange resin from potable water production,CH,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent cation exchange resin from potable water production,spent cation exchange resin from potable water production,RoW,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent Formox catalyst base from formaldehyde production,spent Formox catalyst base from formaldehyde production,RER,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent Formox catalyst base from formaldehyde production,spent Formox catalyst base from formaldehyde production,RoW,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent nuclear fuel,spent nuclear fuel,GLO,2011 - 2025,Waste Treatment & Recycling,kg,
"market for spent pot liner from Al electrolysis, carbon fraction","spent pot liner from Al electrolysis, carbon fraction",CH,2010 - 2025,Waste Treatment & Recycling,kg,
"market for spent pot liner from Al electrolysis, carbon fraction","spent pot liner from Al electrolysis, carbon fraction",RoW,2010 - 2025,Waste Treatment & Recycling,kg,
market for spent sawing slurry from Si-wafer cutting,spent sawing slurry from Si-wafer cutting,GLO,2011 - 2025,Waste Treatment & Recycling,l,
market for spent solvent mixture,spent solvent mixture,CH,2011 - 2025,Waste Treatment & Recycling; Chemicals,kg,
market for spent solvent mixture,spent solvent mixture,Europe without Switzerland,2011 - 2025,Waste Treatment & Recycling; Chemicals,kg,
market for spent solvent mixture,spent solvent mixture,RoW,2011 - 2025,Waste Treatment & Recycling; Chemicals,kg,
market for spinach,spinach,CH,2017 - 2025,Agriculture & Animal Husbandry,kg,
market for spinach,spinach,RoW,2010 - 2025,Agriculture & Animal Husbandry,kg,
"market for spinach, organic","spinach, organic",CH,2017 - 2025,Agriculture & Animal Husbandry,kg,
"market for spiral-seam duct, steel, DN 125","spiral-seam duct, steel, DN 125",GLO,2011 - 2025,Infrastructure & Machinery,m,
"market for spiral-seam duct, steel, DN 400","spiral-seam duct, steel, DN 400",GLO,2011 - 2025,Infrastructure & Machinery,m,
market for spodumene,spodumene,GLO,2011 - 2025,Resource Extraction; Metals,kg,001302-37-0
market for spoil from hard coal mining,spoil from hard coal mining,GLO,2011 - 2025,Waste Treatment & Recycling,kg,
market for spoil from lignite mining,spoil from lignite mining,GLO,2011 - 2025,Waste Treatment & Recycling,kg,
market for sponge iron,sponge iron,GLO,2000 - 2025,Metals,kg,007439-89-6
market for spray-drying of milk,spray-drying of milk,GLO,2004 - 2025,Agriculture & Animal Husbandry,kg,
"market for spray-up for composite production, spray-up of resin and fibres","spray-up for composite production, spray-up of resin and fibres",GLO,2011 - 2025,Chemicals,kg,
"market for sputtering target, sintered, indium tin oxide","sputtering target, sintered, indium tin oxide",GLO,2011 - 2025,Metals,kg,
"market for sputtering, indium tin oxide, for liquid crystal display","sputtering, indium tin oxide, for liquid crystal display",GLO,2011 - 2025,Metals,m3,
market for stalk,stalk,GLO,2012 - 2025,Agriculture & Animal Husbandry; Waste Treatment & Recycling,kg,
market for stalk shredding,stalk shredding,GLO,2023 - 2025,Agriculture & Animal Husbandry,ha,
market for stamping for thermoplastic composite product,stamping for thermoplastic composite product,GLO,2011 - 2025,Chemicals,kg,
"market for stamping, electricity use, 300 – 500 t press, > 200 °C","stamping, electricity use, 300 – 500 t press, > 200 °C",GLO,2011 - 2025,Chemicals,unit,
"market for stamping, electricity use, 300 – 500 t press, 150 - 200 °C","stamping, electricity use, 300 – 500 t press, 150 - 200 °C",GLO,2011 - 2025,Chemicals,unit,
"market for stamping, electricity use, 300 – 500 t press, 60 - 150 °C","stamping, electricity use, 300 – 500 t press, 60 - 150 °C",GLO,2011 - 2025,Chemicals,unit,
"market for stamping, electricity use, 50 – 150 t press, > 200 °C","stamping, electricity use, 50 – 150 t press, > 200 °C",GLO,2011 - 2025,Chemicals,unit,
"market for stamping, electricity use, 50 – 150 t press, 150 - 200 °C","stamping, electricity use, 50 – 150 t press, 150 - 200 °C",GLO,2011 - 2025,Chemicals,unit,
"market for stamping, electricity use, 50 – 150 t press, 60 - 150 °C","stamping, electricity use, 50 – 150 t press, 60 - 150 °C",GLO,2011 - 2025,Chemicals,unit,
"market for start-up, heat and power co-generation unit, 160kW electrical","start-up, heat and power co-generation unit, 160kW electrical",GLO,2011 - 2025,Infrastructure & Machinery; Heat; Electricity,unit,
"market for steam generation system, solar tower power plant, 20 MW","steam generation system, solar tower power plant, 20 MW",GLO,2010 - 2025,Infrastructure & Machinery; Electricity,unit,
"market for steam, in chemical industry","steam, in chemical industry",RER,2010 - 2025,Heat; Chemicals,kg,007732-18-5
"market for steam, in chemical industry","steam, in chemical industry",RoW,2010 - 2025,Heat; Chemicals,kg,007732-18-5
market for stearic acid,stearic acid,GLO,2015 - 2025,Chemicals,kg,000057-11-4
market for steatite,steatite,GLO,2011 - 2025,Resource Extraction; Minerals; Cement & Concrete,kg,014378-12-2
market for steel in car shredder residue,steel in car shredder residue,CH,2010 - 2025,Waste Treatment & Recycling; Metals,kg,
market for steel in car shredder residue,steel in car shredder residue,RoW,2010 - 2025,Waste Treatment & Recycling; Metals,kg,
"market for steel removed by drilling, computer numerical controlled","steel removed by drilling, computer numerical controlled",GLO,2011 - 2025,Metals,kg,
"market for steel removed by drilling, conventional","steel removed by drilling, conventional",GLO,2011 - 2025,Metals,kg,
"market for steel removed by milling, average","steel removed by milling, average",GLO,2011 - 2025,Metals,kg,
"market for steel removed by milling, dressing","steel removed by milling, dressing",GLO,2011 - 2025,Metals,kg,
"market for steel removed by milling, large parts","steel removed by milling, large parts",GLO,2011 - 2025,Metals,kg,
"market for steel removed by milling, small parts","steel removed by milling, small parts",GLO,2011 - 2025,Metals,kg,
"market for steel removed by turning, average, computer numerical controlled","steel removed by turning, average, computer numerical controlled",GLO,2011 - 2025,Metals,kg,
"market for steel removed by turning, average, conventional","steel removed by turning, average, conventional",GLO,2011 - 2025,Metals,kg,
"market for steel removed by turning, primarily dressing, computer numerical controlled","steel removed by turning, primarily dressing, computer numerical controlled",GLO,2011 - 2025,Metals,kg,
"market for steel removed by turning, primarily dressing, conventional","steel removed by turning, primarily dressing, conventional",GLO,2011 - 2025,Metals,kg,
"market for steel removed by turning, primarily roughing, computer numerical controlled","steel removed by turning, primarily roughing, computer numerical controlled",GLO,2011 - 2025,Metals,kg,
"market for steel removed by turning, primarily roughing, conventional","steel removed by turning, primarily roughing, conventional",GLO,2011 - 2025,Metals,kg,
"market for steel, 3.2% silicon alloy, for grain oriented electrical steel","steel, 3.2% silicon alloy, for grain oriented electrical steel",RER,2020 - 2025,Metals,kg,
"market for steel, bearing, 100% scrap","steel, bearing, 100% scrap",GLO,2023 - 2025,Metals,kg,
"market for steel, carbon, 100% scrap","steel, carbon, 100% scrap",GLO,2023 - 2025,Metals,kg,
"market for steel, case hardening, 100% scrap","steel, case hardening, 100% scrap",GLO,2023 - 2025,Metals,kg,
"market for steel, chromium steel 18/8","steel, chromium steel 18/8",GLO,2011 - 2025,Metals,kg,012597-69-2
"market for steel, chromium steel 18/8, hot rolled","steel, chromium steel 18/8, hot rolled",GLO,2011 - 2025,Metals,kg,012597-69-2
"market for steel, high strength low alloy, 100% scrap","steel, high strength low alloy, 100% scrap",GLO,2023 - 2025,Metals,kg,
"market for steel, low-alloyed","steel, low-alloyed",GLO,2011 - 2025,Metals,kg,
"market for steel, low-alloyed, hot rolled","steel, low-alloyed, hot rolled",GLO,2011 - 2025,Metals,kg,
"market for steel, structural, 100% scrap","steel, structural, 100% scrap",GLO,2023 - 2025,Metals,kg,
"market for steel, unalloyed","steel, unalloyed",GLO,2011 - 2025,Metals,kg,
"market for steel, weathering A, 100% scrap","steel, weathering A, 100% scrap",GLO,2023 - 2025,Metals,kg,
"market for steel, weathering B, 100% scrap","steel, weathering B, 100% scrap",GLO,2023 - 2025,Metals,kg,
market for stibnite concentrate,stibnite concentrate,GLO,2011 - 2025,Resource Extraction; Metals,kg,
"market for stimulation, deep well","stimulation, deep well",GLO,2015 - 2025,Resource Extraction; Electricity,m3,
"market for stirling heat and power co-generation unit, 3kW electrical, wood pellet, future","stirling heat and power co-generation unit, 3kW electrical, wood pellet, future",GLO,2011 - 2025,Infrastructure & Machinery; Heat; Electricity,unit,
"market for stockpiling of anode slime from electrorefining of copper, anode","stockpiling of anode slime from electrorefining of copper, anode",GLO,2005 - 2025,Metals; Waste Treatment & Recycling,kg,
market for stone groundwood pulp,stone groundwood pulp,GLO,2011 - 2025,Pulp & Paper,kg,
market for stone meal,stone meal,GLO,2011 - 2025,Resource Extraction; Minerals; Agriculture & Animal Husbandry,kg,
market for stone wool,stone wool,GLO,2011 - 2025,Cement & Concrete,kg,
market for stone wool factory,stone wool factory,GLO,2011 - 2025,Infrastructure & Machinery; Cement & Concrete,unit,
"market for stone wool, packed","stone wool, packed",GLO,2011 - 2025,Cement & Concrete,kg,
"market for storage building, chemicals, solid","storage building, chemicals, solid",GLO,2011 - 2025,Infrastructure & Machinery; Chemicals,unit,
"market for storage, 10'000 l","storage, 10'000 l",GLO,2011 - 2025,Infrastructure & Machinery,unit,
"market for storage, 650 l mini CHP plant","storage, 650 l mini CHP plant",GLO,2011 - 2025,Infrastructure & Machinery; Heat; Electricity,unit,
market for straw,straw,CH,2017 - 2025,Agriculture & Animal Husbandry,kg,
market for straw,straw,Europe without Switzerland,2019 - 2025,Agriculture & Animal Husbandry,kg,
market for straw,straw,RoW,2011 - 2025,Agriculture & Animal Husbandry,kg,
"market for straw, organic","straw, organic",CH,2017 - 2025,Agriculture & Animal Husbandry,kg,
"market for straw, organic","straw, organic",RoW,2011 - 2025,Agriculture & Animal Husbandry,kg,
"market for straw, stand-alone production","straw, stand-alone production",RER,2019 - 2025,Agriculture & Animal Husbandry,kg,
"market for straw, stand-alone production","straw, stand-alone production",RoW,2011 - 2025,Agriculture & Animal Husbandry,kg,
market for strawberry,strawberry,GLO,2010 - 2025,Agriculture & Animal Husbandry,kg,
"market for strawberry seedling, for planting","strawberry seedling, for planting",GLO,2009 - 2025,Agriculture & Animal Husbandry,unit,
market for stretch blow moulding,stretch blow moulding,GLO,2011 - 2025,Chemicals,kg,
market for strontium carbonate,strontium carbonate,GLO,2012 - 2025,Chemicals,kg,1633-05-2
"market for strontium sulfate, 90% SrSO4","strontium sulfate, 90% SrSO4",GLO,2012 - 2025,Resource Extraction; Metals,kg,7759-02-6
market for structural timber,structural timber,RER,2012 - 2025,Wood,m3,
market for structural timber,structural timber,RoW,2012 - 2025,Wood,m3,
market for stucco,stucco,GLO,2011 - 2025,Cement & Concrete,kg,
market for styrene,styrene,CN,2011 - 2025,Chemicals,kg,100-42-5
market for styrene,styrene,JP,2011 - 2025,Chemicals,kg,100-42-5
market for styrene,styrene,KR,2011 - 2025,Chemicals,kg,100-42-5
market for styrene,styrene,RER,2011 - 2025,Chemicals,kg,100-42-5
market for styrene,styrene,RoW,2011 - 2025,Chemicals,kg,100-42-5
market for styrene,styrene,US,2011 - 2025,Chemicals,kg,100-42-5
"market for styrene butadiene rubber, emulsion polymerised","styrene butadiene rubber, emulsion polymerised",RAS,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, emulsion polymerised","styrene butadiene rubber, emulsion polymerised",RER,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, emulsion polymerised","styrene butadiene rubber, emulsion polymerised",RLA,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, emulsion polymerised","styrene butadiene rubber, emulsion polymerised",RNA,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, emulsion polymerised","styrene butadiene rubber, emulsion polymerised",RoW,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, solution polymerised","styrene butadiene rubber, solution polymerised",RAS,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, solution polymerised","styrene butadiene rubber, solution polymerised",RER,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, solution polymerised","styrene butadiene rubber, solution polymerised",RLA,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, solution polymerised","styrene butadiene rubber, solution polymerised",RNA,2025 - 2025,Chemicals,kg,9003-55-8
"market for styrene butadiene rubber, solution polymerised","styrene butadiene rubber, solution polymerised",RoW,2025 - 2025,Chemicals,kg,9003-55-8
